CaseID,weight,tm_start,tm_finish,duration,DOV_MANCHECK,XTESS171,XPARTY3,XPARTY7,xideo,XREL1,XREL2,XPCM0160,XPP10035,XPH1ANXI,Q1_Sentence1,Q1_Sentence2,Q1_Sentence3,Q1_Sentence4,Q1_Sentence5,Q1_Sentence6,Q1_Sentence1_Refused,Q1_Sentence2_Refused,Q1_Sentence3_Refused,Q1_Sentence4_Refused,Q1_Sentence5_Refused,Q1_Sentence6_Refused,Q2_Sentence1,Q2_Sentence2,Q2_Sentence3,Q2_Sentence4,Q2_Sentence5,Q2_Sentence6,Q2_Sentence1_Refused,Q2_Sentence2_Refused,Q2_Sentence3_Refused,Q2_Sentence4_Refused,Q2_Sentence5_Refused,Q2_Sentence6_Refused,Q3,Q4,Q5A_OptA_Genre,Q5A_OptB_Genre,Q5B_OptA_Genre,Q5B_OptB_Genre,Q5C_OptA_Genre,Q5C_OptB_Genre,Q5A_OptA_Topic,Q5A_OptB_Topic,Q5B_OptA_Topic,Q5B_OptB_Topic,Q5C_OptA_Topic,Q5C_OptB_Topic,Q5A_OptA_Style,Q5A_OptB_Style,Q5B_OptA_Style,Q5B_OptB_Style,Q5C_OptA_Style,Q5C_OptB_Style,Q5A_OptA_Medium,Q5A_OptB_Medium,Q5B_OptA_Medium,Q5B_OptB_Medium,Q5C_OptA_Medium,Q5C_OptB_Medium,Q5A_OptA_Length,Q5A_OptB_Length,Q5B_OptA_Length,Q5B_OptB_Length,Q5C_OptA_Length,Q5C_OptB_Length,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,DOV_Q7Q8Q9_Order,Q7,Q8,Q9,ppage,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,pprent,ppstaten,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,ppnet
737,.9731,14dec2014 14:30:07,20dec2014 01:34:33,7864,2,9,1,1,6,1,6,32,4,2,,,,,,,,,,,,,I viewed Hog's.,I looked over Dog's.,I jumped over frogs.,I I slept with Sloths.,I spied trout.,I observed tigers growl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,44,9,2,1,1,1,4,3,4,6,1,1,2,14,0,0,1,1,2,6,1
738,.8993,14dec2014 14:35:27,14dec2014 14:41:42,6,2,5,2,7,2,13,6,32,3,2,"When I returned to the gate, I saw the lion approach.","I stood on my toes, to see the seals, in the water.","The elephants were easy to see, beyond the crowd.","We made good use of our peanuts, giving them to the squirrels.",The polar bears were huge.,"My favorite animal was the tiger, so big and majestic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,46,9,2,1,2,1,3,1,16,1,1,3,1,57,0,0,0,0,3,7,1
739,.4265,14dec2014 14:37:46,14dec2014 14:46:35,8,1,9,1,3,6,1,2,1,1,2,,,,,,,,,,,,,The tiger slept.tiger,The chimp climbed the tree.,The horse jumped the river.,The viper struck the window.,The keeper fed the kids,The ducks flew the exibit,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,51,14,4,1,1,1,4,1,19,1,1,3,1,52,0,0,2,0,2,1,1
741,.4853,14dec2014 14:45:27,14dec2014 15:16:14,30,2,9,1,1,6,9,1,12,2,2,,,,,,,,,,,,,I liked the purple striped fish the most over the others.,The horses wore yellow flowers.,The tigers jumped high over the river beds.,Otters blew red bubbles.,The fox dressed his feet with blue socks.,Opossums pushed the kids by their toes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,58,12,4,1,2,1,1,1,16,5,1,3,1,74,0,0,0,0,1,1,1
742,.6332,14dec2014 14:51:21,14dec2014 14:56:40,5,2,4,2,6,4,2,6,1,3,2,I saw the monkey's swinging on the bars.,There were three big lions that roared.,The elepahants were lying down.,I did not like the snakes.,The birds were beautiful but very loud.,Three seals were playing in the water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,55,11,3,1,2,1,1,1,15,3,1,1,1,21,0,0,0,0,1,1,1
743,1.1221,14dec2014 14:51:50,16dec2014 13:25:13,2793,1,2,1,1,5,3,1,32,1,2,the elephant died,Snakes give me the willies,bears just sleep most of the time,the lions just pace back and forth,monkey island is always fun,rhinos scare me,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,72,10,3,1,1,1,2,1,12,1,0,2,1,34,0,0,0,0,2,5,1
744,3.1284,14dec2014 14:56:38,14dec2014 17:25:15,148,2,9,2,5,3,9,3,16,4,2,,,,,,,,,,,,,The tigers growled fiercely.,Birds flew through the sky.,The turtles jumped over the log,The Crocodiles looked by the birds,The wild dogs howled,The otters were very cute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,18,7,1,1,2,0,5,1,15,5,1,1,1,21,0,0,0,0,5,1,1
745,.8942,14dec2014 14:57:31,14dec2014 14:59:27,1,2,3,2,5,4,13,5,32,4,2,A beautiful lion,Omg it's a camel,Look at the panda,A tulip,Birds,The people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,50,10,3,1,1,1,2,2,19,3,1,2,1,34,0,0,0,0,2,5,1
746,.4045,14dec2014 15:03:56,14dec2014 15:10:54,6,1,2,1,1,6,2,2,32,1,2,The smartest animal is a pig.,I can not talk to a horse.,A Holstein cow will give you the best milk.,The most beautiful bird is an Eagle.,Over the years we have had many faithful dogs.,I would not care to have a cat.,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,78,9,2,1,2,1,2,3,10,1,0,2,2,45,0,0,0,0,2,5,1
747,.7164,14dec2014 15:09:45,14dec2014 15:32:59,23,1,7,1,3,5,3,4,20,1,2,The golden finches were my favorite at the avairy.,"Migueli, the Bengal Tiger, was hidden in the shadows of the rock outcrop due to the heat.",Many small children were captivated by the monkeys frolicking in their habitat.,"No panda bears at this facility, much to our disappointment.",A little girl squealed with delight as a baby elephant carefully snatched her proffered peanut.,Just looking at he two giraffes prompted avision fo a visit to the Serengeti.,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,60,12,4,1,1,1,2,2,16,1,1,3,1,54,0,0,0,0,2,1,1
748,1.4334,14dec2014 15:23:11,14dec2014 15:36:29,13,2,12,2,7,2,3,4,10,2,2,,,,,,,,,,,,,The lemurs threw poop,The tortoise moves slowly while we visit the exhibit,The Emu's were super to see,It is difficult to see the frogs,The sheep were sleeping while we visited,The zoo displayed several hippo exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,30,13,4,2,2,0,3,1,14,5,1,3,2,59,0,0,0,0,3,1,1
749,.4704,14dec2014 15:26:16,14dec2014 15:37:37,11,2,6,2,5,3,3,2,32,1,2,The baby giraffe stays close to his mother as all of these people are frightening to him.,Penguins are busy playing in the snow in their special home in the aquarium.,A baby orangutan was just born to a wonderful mother orangutan in Omaha.,The lions are enjoying sitting in the sun outside their dens on this beautiful day.,Kids love brushing the coats of the young goats at the red barn.,The mother swan sat on her eggs waiting for them to hatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,64,13,4,1,2,1,1,1,14,3,1,2,1,46,0,0,0,0,1,5,1
751,1.1507,14dec2014 15:40:17,14dec2014 15:47:36,7,2,11,1,3,4,1,5,24,3,2,,,,,,,,,,,,,i like deer,i like birds,i like elk,i like moose,i like horses,i like cubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,35,9,2,1,1,0,3,1,10,5,0,3,1,62,0,0,0,0,3,1,1
752,.585,14dec2014 15:48:18,14dec2014 15:58:47,10,2,11,2,5,3,13,6,32,2,3,,,,,,,,,,,,,The sheep were sleeping by their beds.,The fish were very colorful.,The octopus used his eight legs to get to his prey.,The porpoise performed tricks for us.,Some of the tigers growled loudly before they licked their bowls.,Most of the chicks pecked their food.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,66,13,4,1,2,1,2,1,17,1,1,1,1,11,0,0,0,0,2,5,1
753,.9928,14dec2014 15:59:02,14dec2014 16:13:02,14,2,13,2,5,3,2,5,10,2,2,,,,,,,,,,,,,We fed the tiger his food.,The crocodile lived by the zoo's river.,The  bird flew from tree to tree.,The fish were fed fish food.,The reptiles were by the rocks.,The wolves looked like our dog.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,71,12,4,1,1,1,3,2,19,1,0,1,1,21,0,0,0,0,3,2,1
754,.7837,14dec2014 16:05:05,14dec2014 16:16:35,11,2,2,1,1,6,2,2,32,1,2,My favorite animals were the elephants.,The monkeys are so funny.,The lions are a little bit scary.,I really don't like the reptiles.,The panda bears are the cutest of all.,The tigers are really beautiful animals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,67,10,3,1,2,1,2,1,10,1,0,3,1,62,0,0,0,0,2,5,1
756,.7205,14dec2014 16:16:33,14dec2014 16:35:09,18,2,14,2,5,6,2,5,32,3,2,,,,,,,,,,,,,the wolf hissed loudly,the turtle looked sick,the wild dog seemed fluffy,the horse looked spooked,the frog jumped,the pig looked to be covered in mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,66,11,3,1,1,1,2,1,15,1,1,3,1,55,0,0,0,0,2,5,1
757,1.4277,14dec2014 16:18:12,14dec2014 16:22:45,4,2,2,2,7,1,13,6,29,1,2,The emu stole my ice cream cone,"Orange is the new Black, said the tiger.",What would a wallaby if not a marsupial?,Meerkats are skinny rats.,When they moved from the tree to the rock the leopards changed their spots.,"""Timber!"" said the lumberjack wolf.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,51,11,3,1,1,1,2,1,4,5,1,1,1,21,0,0,0,0,2,1,1
758,.57,14dec2014 16:28:52,16dec2014 20:22:12,3113,2,6,1,3,5,2,6,3,2,2,"After resting, I watched the sloths sleep.","After lunch, we went to see the lions feed.",We flew through the bird house.,We swam with the sea otters.,We watched the giraffes tower over the rhinos.,we did not swim with the polar bears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,67,11,3,1,1,1,2,1,16,1,1,3,1,54,0,0,0,0,2,1,1
759,.4344,14dec2014 16:33:43,14dec2014 16:48:26,14,2,14,2,7,2,2,5,32,1,2,,,,,,,,,,,,,The little cubs were so cute.,The big birds flew in the blue sky.,I loved the little field mouse hiding with big birds.,The little mouse with big cheeks looked cute.,Loud people were everywhere.,Wow good time the zoo is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,78,10,3,1,2,1,2,1,9,1,1,3,1,54,0,0,0,0,2,5,0
760,.9876,14dec2014 16:45:44,30dec2014 03:17:17,22231,2,6,1,2,4,1,5,18,4,2,I went to see the penguins.,"After lunch, we saw the monkeys.",We got to feed the goats.,An orangatang played catch with me.,The elephants did some tricks.,There was a crowd at the sea lion show.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,36,10,3,1,2,1,4,1,12,1,1,3,1,74,0,0,1,1,2,1,1
761,1.1125,14dec2014 16:46:33,17dec2014 17:37:31,4370,2,5,2,6,2,13,6,10,3,2,My favorite animal is the red panda.,Every time I go the red panda is sleeping.,I avoid the reptile house because I do not like snakes.,I used to wait for the polar bears to swim in their pool before I left.,The monkeys and lemurs walk through overhead tunnels throughout.,I always enjoyed how the peacocks roam free.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,27,12,4,1,2,0,2,1,16,6,1,1,1,23,0,0,0,0,2,2,1
762,.6643,14dec2014 16:53:26,14dec2014 16:58:47,5,1,1,3,4,4,5,1,7,2,2,The elephants were wading in a pond.,Monkeys were swinging from trees.,A gorilla was eating a bannana.,The lions were sleeping.,A tiger was eating meat.,Two black bears were fighting.,,,,,,,,,,,,,,,,,,,1,1,1,2,1,3,2,1,5,8,1,12,10,3,2,3,1,1,3,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,,,,,,,"Q9,Q8,Q7",1,1,3,73,14,4,1,1,1,2,1,15,1,1,3,3,59,0,0,0,0,2,2,1
764,1.0952,14dec2014 17:15:03,16dec2014 22:35:45,3200,2,3,1,3,6,9,5,32,1,2,monkeys are nasty!,I saw the snakes.,The camen was dirty.,there were many birds.,i dropped my ice cream in bera crap.,this is a stupid survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,73,9,2,1,1,1,2,1,15,1,0,3,1,74,0,0,0,0,2,5,1
765,.7945,14dec2014 17:22:22,14dec2014 18:08:17,45,2,3,1,3,4,13,5,3,1,2,I fed peanuts to the elephants.,I watched the giraffes eat from the trees.,The seals were playful.,Polar bears were swimming and playing with balls in the water.,The lions were sleeping in their enclosure.,The monkeys were all chattering in the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,40,12,4,1,1,1,1,3,14,5,1,4,2,88,0,0,0,0,1,1,1
766,1.0294,14dec2014 17:40:43,30dec2014 13:06:14,22765,2,6,1,2,4,2,4,32,2,2,after driving this far I was happy to see the monkeys..,Seeing the lions was such fun.,"After lunch, I watched the bears.",Watching the tigers was scary.,I like seeing the elephants.,The cougar was really pretty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,78,9,2,1,1,1,3,1,10,1,1,3,1,74,0,0,1,0,2,5,1
767,.7012,14dec2014 17:40:56,14dec2014 17:46:14,5,2,6,2,5,4,12,6,25,2,2,"Upon watching the elephant eat, I was hungry.",Watching the polar bears frolic was delightful.,I saw a monkey climbing the cage.,The lion was laying under the tree and sleeping.,One llama ate all the bread that I had in my feeding bag.,A buffalo charged the enclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,24,10,3,1,1,0,5,1,11,5,0,1,1,23,0,1,0,0,4,1,1
768,1.5336,14dec2014 17:43:28,14dec2014 17:52:41,9,2,5,2,6,3,3,2,32,2,2,had lunch and fed peanuts to the squirrels,We road on a tram and saw elephants,Crocodile pool was filled,The bird sanctuary had many different species,I was quite impressed with the rhinocerous,My grandaughter had fun feeding the ducks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,74,9,2,1,2,1,2,3,15,1,1,1,1,14,0,0,0,0,2,5,1
770,.6098,14dec2014 17:48:26,14dec2014 18:01:28,13,2,7,2,6,3,3,4,32,2,2,I saw a monkey,We saw people looking at the elephant,The show was about seals,Many people were looking at the donkeys,They had an area with butterfly's,The giraffe was a site to see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,62,11,3,1,1,1,5,1,16,1,1,1,1,14,0,0,0,1,4,3,1
771,.2331,14dec2014 17:58:04,14dec2014 18:29:09,31,1,11,2,5,4,9,1,32,2,2,,,,,,,,,,,,,We spied zoo birds perched up high.,We viewed eels swim with fish.,Wolves jump over rocks.,Turtles chomp weeds.,We see tigers with their cubs.,Hippos move through the exhibits.,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,47,14,4,5,2,0,3,1,16,1,1,2,1,41,0,0,0,0,3,7,1
772,.4234,14dec2014 18:10:42,14dec2014 18:24:11,13,2,10,1,3,5,13,6,1,1,2,,,,,,,,,,,,,I spied the zoo's ostriches.,I videoed the zoo's deer.,I petted the zoo's tigers.,I fed the zoo's wild dogs.,I threw fish to the zoo's otters.,I jogged from the zoo's loose grizzily.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,43,11,3,1,1,1,2,1,10,1,1,1,1,23,0,0,0,0,2,1,1
774,.7835,14dec2014 18:29:52,14dec2014 18:37:40,7,2,2,2,6,3,3,6,2,3,2,The otters were swimming all day long.,Polar bears played in the pool as people watched.,The elephants looked surreal in the African Safari landscape.,Flamingos flocked their wings while wading in a pool of water.,The snakes were slithery and scary to touch.,Birds chirping made me feel like I was in a rainforest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,30,12,4,1,1,1,2,3,16,1,1,4,2,87,0,0,0,0,2,1,1
775,.3073,14dec2014 18:32:45,14dec2014 18:43:42,10,2,5,1,3,4,13,6,28,3,2,"In my imaginary animal house, the creatures are happy.",It is a nice place where the hippopotami are friendly.,The elephants and rhinos are trusting and affectionate towards humans.,There are no tigers because they have not yet evolved past their man eating instincts.,Heck even the baboons are happy go lucky in this here imaginary park.,We're still having trouble convincing the anaconda and python to go vegetarian though.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,39,10,3,1,1,1,2,1,11,1,1,3,2,56,0,0,0,0,2,1,1
777,.5776,14dec2014 18:43:33,14dec2014 18:58:13,14,2,6,1,3,5,2,4,32,3,2,The lions proved to be very regal in appearance.,I was suprised at how inteligent the monkeys were.,The elephants were much larger than I had imagined.,The giraffes were able to eat leaves that were very high off the ground.,I saw both big and small hippos.,There were no cages enclosing the tigers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,71,12,4,1,1,1,2,1,12,1,1,3,1,59,0,0,0,0,2,5,1
779,1.2736,14dec2014 19:00:24,14dec2014 19:19:18,18,2,4,2,6,3,13,6,29,2,2,i saw snakes,i visited the insect cages,i walked past the botanical garden,i walked by the tigers,i saw the elephants,i heard the birds in their cages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,43,14,4,3,1,1,2,1,19,1,1,4,1,93,0,0,0,0,2,1,1
780,1.7938,14dec2014 19:07:26,05jan2015 19:43:28,31716,2,8,2,7,2,2,3,22,2,2,,,,,,,,,,,,,I see birds,I see doves,there were wolves,there were fish,I see pigs,I liked the squirrels,,,,,,,,,2,3,3,1,2,3,10,11,11,3,7,14,2,3,3,2,3,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,,,,,,,"Q7,Q8,Q9",2,3,1,44,11,3,2,2,1,2,1,16,6,1,2,1,34,0,0,0,0,2,1,1
781,1.4623,14dec2014 19:17:56,14dec2014 19:31:02,13,2,8,2,5,5,11,1,32,1,2,,,,,,,,,,,,,I love the birds.,I like the birds.,fuck the birds.,kiss the birds.,I like tigers,I love tigers,,,,,,,,,2,2,3,3,2,3,10,9,12,12,8,12,3,2,3,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,,,,,,,"Q8,Q9,Q7",2,3,4,56,10,3,2,1,0,2,3,3,6,1,4,2,93,0,0,0,0,2,6,0
782,1.1408,14dec2014 19:17:59,14dec2014 19:34:05,16,2,12,2,6,4,2,2,32,2,1,,,,,,,,,,,,,The tigers were hot due to the humidity.,See the birds fly higher  with tosses of your cookie crumbs.,It cost two dimes to feed the deer.,I see the reptile eggs protected by the stem.,The spiders were creepy with the red lights.,My feet hurt from the extreme trek from the zoo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,43,11,3,1,2,1,3,3,9,3,1,2,2,35,0,0,0,1,2,4,1
783,.6864,14dec2014 19:19:30,14dec2014 19:31:59,12,2,8,2,7,4,13,6,32,2,2,,,,,,,,,,,,,I viewed three dogs.,Five sheep were sleeping.,Two tigers were missing,There were five chimps.,The turtles were still.,The coyote would yelp.,,,,,,,,,2,2,2,2,3,2,9,10,8,9,14,8,3,1,3,3,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,,,,,,,"Q7,Q8,Q9",1,3,2,66,13,4,1,1,1,2,1,16,1,1,3,1,74,0,0,0,0,2,5,1
784,.6745,14dec2014 19:57:12,14dec2014 20:04:28,7,2,3,2,7,1,13,6,32,1,2,i watched the elephants bathe.,"the monkies scampered up, over, down and around their unique habitat.",otters were joyfully diving into the water and playing with each other.,the elegant giraffe bowed graciously to quench his thirst.,the gorillas shied away and protected their young from the commotion outside their habitat.,the polar bears displayed humourous antics playing in their pool and shelter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,70,10,3,1,2,1,2,3,10,3,1,3,2,58,0,0,0,0,2,5,1
785,1.0584,14dec2014 20:05:54,14dec2014 20:26:53,20,2,10,2,6,4,3,5,32,3,2,,,,,,,,,,,,,The big tiger is  by the tree.,The little fox trotted to the ditch.,The deer slept by the rock.,The moose moved the boulder with his hoof.,The big elk is tough.,The grizzly growled loudly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,66,13,4,4,2,1,2,1,14,1,0,4,1,85,0,0,0,0,2,5,1
786,1.718,14dec2014 20:08:18,14dec2014 20:18:44,10,1,13,2,6,3,3,5,4,2,2,,,,,,,,,,,,,I bought hot dogs by the croc river.,I bought stuffed toys by the ostrich home.,I like to view the tigers by the trees.,I like to view the chimps by the bridge.,I like to see the fish swim.,The pig rolls mud to the little hogs.,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,32,12,4,1,1,1,3,1,11,1,0,1,1,21,0,1,0,0,2,1,1
787,1.253,14dec2014 20:16:09,14dec2014 20:20:26,4,2,4,1,3,4,13,6,32,4,2,It was hot in the reptile building,The seals were fun to watch,I saw two elephants kicking a ball,The monkeys were fun to watch,I fed the goats,I saw a beautiful white tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,50,9,2,1,2,1,2,1,13,1,0,3,1,63,0,0,0,0,2,6,1
788,1.0638,14dec2014 20:22:02,14dec2014 20:41:10,19,2,10,2,5,4,13,6,32,2,3,,,,,,,,,,,,,I got to see some big tigers.,There were fish of lots of colors.,The little reptiles slept everywhere.,The ocelots were likely to hide if spotted.,Hippos desired food from the zoo keepers.,The wolves smelled the dirt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,22,10,3,1,1,1,1,3,7,5,1,3,2,74,0,0,0,0,1,4,1
790,.665,14dec2014 20:37:08,14dec2014 20:46:18,9,1,5,2,7,4,3,4,32,2,2,Bears are my favorite animals.,I enjoy visiting the camels and elephant.,The whole concept of the amusement park is very enjoyable.,Some circuses have great shows showing animals doing tricks.,The circus is a great place to take children and adults of all ages.,You can enjoy feeding some of the animals in cages.,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,72,9,2,1,2,1,2,2,10,1,1,3,1,59,0,0,0,0,2,5,1
791,.7732,14dec2014 20:37:54,14dec2014 20:58:54,21,2,12,1,3,4,1,1,32,4,2,,,,,,,,,,,,,We got to see the fish.,We took our dog with us to the zoo.,The reptile house might be the best.,The tigers were cute.,The hedgehog hid from us.,The gecko licked its eyes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,28,9,2,1,2,1,5,1,7,1,1,3,1,57,0,0,1,2,2,7,1
792,.5702,14dec2014 20:40:38,14dec2014 20:55:11,14,2,7,1,2,4,3,5,32,3,2,The monkeys are funny.,I saw a big elephant eating.,Some of the birds were very big.,I did not like the snakes.,The panda bears are cute.,The lions were fighting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,69,9,2,1,2,1,3,3,13,1,1,4,2,92,0,0,0,0,3,5,1
795,.9331,14dec2014 20:53:59,14dec2014 21:00:13,6,1,3,2,7,2,13,6,32,2,2,I walked down the path to see the giraffes.,Up in the trees there are three monkeys swinging.,There is a big hairy tarantula in a warm tank.,The big brown bear catches a salmon in the stream.,The big male lion is roaring and gnawing on a steak.,There is a special garden with hundreds of beautiful butterflies.,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,44,12,4,1,2,1,4,1,15,1,1,4,1,91,0,0,2,0,2,7,1
796,.519,14dec2014 21:05:10,14dec2014 21:24:02,18,2,9,2,7,2,13,6,1,3,2,,,,,,,,,,,,,Big sloths were perched high up over the tree tops.,Tortoises climbed the rocks with some difficulty.,Deer with soft muzzles were huddled together.,Wildebeests with wild stripes were stopped beside the river.,Sleek tigers with yellow eyes explored the icy borders of their world.,Soft grey moles bored holes without sight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,61,13,4,1,2,1,2,3,19,1,1,2,1,41,0,0,0,0,2,2,1
797,1.4926,14dec2014 21:24:02,14dec2014 21:36:59,12,2,11,2,7,5,3,1,32,3,2,,,,,,,,,,,,,the hyppos in the river cooled off,i loved the tigers' stripes,the crocs were wet,the fish were colorful,the wolf drooled,the lobo howled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,68,4,1,4,2,1,3,3,6,1,1,1,2,21,0,0,0,0,3,5,1
798,.8308,14dec2014 21:27:36,14dec2014 21:41:40,14,2,13,2,5,4,2,4,32,2,2,,,,,,,,,,,,,I strolled by the elk.,I stood before the turtles.,We like to see the reptiles.,we were surprised by the sight of the Osprey',I like to look with my sister for the birds,the most colorful is the butterfly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,62,10,3,1,1,1,2,1,15,1,0,2,1,47,0,0,0,0,2,5,1
799,.5877,14dec2014 21:34:02,14dec2014 21:44:38,10,1,14,1,1,6,3,2,32,2,2,,,,,,,,,,,,,I looked for the fox,I looked for the elk,I looked for the moose,I looked for the buck,I looked for the bird,I looked for the dog,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,69,9,2,1,2,1,2,1,7,1,1,2,1,34,0,0,0,0,2,5,1
801,1.2291,14dec2014 21:47:35,14dec2014 21:54:48,7,1,7,2,5,4,3,5,1,1,2,I saw a hippopotamus baby in the nursery.,The African elephant was actually an Asian elephant.,The lions were sleeping under the tree.,The polar bears we're playing in their enclosure.,The poisonous snakes always scare me.,The gorillas fascinate me.,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,54,10,3,1,1,1,2,1,9,1,1,4,2,84,0,0,0,0,2,2,1
